Requests,Load,Falha
0.07,0.10,0
0.07,0.28,0
0.03,0.19,0
0.01,0.11,0
0.07,0.01,0
0.02,0.41,0
0.03,0.46,0
0.10,0.08,0
0.00,0.22,0
0.04,0.33,0
0.03,0.37,0
0.03,0.05,0
0.06,0.18,0
0.01,0.21,0
0.03,0.45,0
0.05,0.48,0
0.02,0.50,0
0.08,0.44,0
0.07,0.43,0
0.05,0.47,0
0.02,0.18,0
0.01,0.04,0
0.08,0.34,0
0.03,0.39,0
0.02,0.31,0
0.07,0.19,0
0.03,0.16,0
0.09,0.50,0
0.04,0.25,0
0.03,0.44,0
0.08,0.08,0
0.04,0.19,0
0.10,0.48,0
0.02,0.20,0
0.06,0.19,0
0.05,0.41,0
0.06,0.49,0
0.07,0.16,0
0.03,0.24,0
0.08,0.08,0
0.08,0.45,0
0.01,0.02,0
0.03,0.26,0
0.08,0.12,0
0.04,0.06,0
0.01,0.49,0
0.05,0.09,0
0.78,0.35,0
0.79,0.05,0
0.76,0.67,1
0.48,0.45,0
0.74,0.82,1
0.10,0.44,0
0.08,0.47,0
0.08,0.01,0
0.03,0.11,0
0.02,0.26,0
0.06,0.24,0
0.05,0.44,0
0.00,0.16,0
0.02,0.16,0
0.06,0.27,0
0.04,0.42,0
0.06,0.23,0
0.06,0.33,0
0.01,0.23,0
0.06,0.06,0
0.04,0.09,0
0.07,0.13,0
0.10,0.01,0
0.10,0.28,0
0.08,0.28,0
0.06,0.01,0
0.10,0.13,0
0.09,0.15,0
0.09,0.12,0
0.04,0.41,0
0.04,0.40,0
0.05,0.29,0
0.06,0.23,0
0.00,0.27,0
0.99,0.85,0
0.06,0.43,0
0.07,0.26,0
0.03,0.10,0
0.04,0.15,0
0.04,0.05,0
0.02,0.10,0
0.04,0.07,0
0.06,0.04,0
0.08,0.28,0
0.08,0.17,0
0.01,0.41,0
0.04,0.50,0
0.07,0.32,0
0.08,0.37,0
0.60,0.25,0
0.45,0.46,0
0.68,0.22,0
0.63,0.17,0
0.68,0.63,1
0.03,0.44,0
0.04,0.41,0
0.09,0.25,0
0.03,0.03,0
0.08,0.38,0
0.00,0.25,0
0.03,0.01,0
0.01,0.27,0
0.04,0.45,0
0.61,0.39,0
0.75,0.12,0
0.77,0.15,0
0.80,0.49,0
0.52,0.67,1
0.05,0.08,0
0.04,0.89,0
0.04,0.88,0
0.03,0.29,0
0.61,0.42,0
0.69,0.46,0
0.08,0.28,0
0.08,0.20,0
0.09,0.49,0
0.02,0.14,0
0.03,0.04,0
0.08,0.21,0
0.00,0.28,0
0.02,0.36,0
0.07,0.33,0
0.00,0.19,0
0.05,0.13,0
0.03,0.42,0
0.01,0.06,0
0.03,0.08,0
0.09,0.10,0
0.02,0.49,0
0.03,0.48,0
0.02,0.11,0
0.06,0.16,0
0.08,0.38,0
0.08,0.19,0
0.03,0.44,0
0.10,0.47,0
0.06,0.13,0
0.08,0.09,0
0.02,0.26,0
0.07,0.17,0
0.02,0.46,0
0.01,0.04,0
0.09,0.14,0
0.05,0.15,0
0.04,0.36,0
0.03,0.49,0
0.09,0.67,0
0.07,0.34,0
0.08,0.45,0
0.07,0.26,0
0.02,0.47,0
0.05,0.24,0
0.01,0.47,0
0.02,0.16,0
0.03,0.49,0
0.09,0.11,0
0.04,0.22,0
0.09,0.36,0
0.00,0.18,0
0.06,0.29,0
0.09,0.49,0
0.79,0.02,0
0.57,0.14,0
0.56,0.06,0
0.80,0.11,0
0.52,0.14,0
0.05,0.67,1
0.04,0.33,0
0.01,0.39,0
0.08,0.09,0
0.09,0.03,0
0.04,0.43,0
0.02,0.22,0
0.06,0.16,0
0.04,0.34,0
0.08,0.22,0
0.02,0.15,0
0.03,0.33,0
0.04,0.18,0
0.06,0.15,0
0.06,0.28,0
0.01,0.03,0
0.58,0.37,0
0.08,0.11,0
0.04,0.15,0
0.08,0.01,0
0.04,0.46,0
0.04,0.00,0
0.05,0.21,0
0.01,0.72,0
0.06,0.04,0
0.00,0.13,0
0.06,0.30,0
0.07,0.36,0
0.01,0.28,0
0.01,0.37,0
0.06,0.33,0
0.04,0.20,0
0.04,0.12,0
0.04,0.26,0
0.01,0.18,0
0.01,0.09,0
0.04,0.39,0
0.01,0.44,0
0.90,0.48,0
0.09,0.39,0
0.04,0.20,0
0.03,0.12,0
0.07,0.44,0
0.09,0.42,0
0.02,0.04,0
0.01,0.23,0
0.08,0.47,0
0.07,0.31,0
0.04,0.33,0
0.10,0.08,0
0.04,0.46,0
0.06,0.33,0
0.00,0.00,0
0.07,0.01,0
0.02,0.39,0
0.08,0.28,0
0.09,0.23,0
0.05,0.17,0
0.02,0.14,0
0.03,0.48,0
0.00,0.07,0
0.05,0.30,0
0.08,0.26,0
0.06,0.20,0
0.08,0.38,0
0.02,0.31,0
0.09,0.35,0
0.10,0.03,0
0.02,0.32,0
0.00,0.46,0
0.06,0.33,0
0.03,0.18,0
0.50,0.02,0
0.67,0.02,0
0.75,0.17,0
0.09,0.10,0
0.05,0.45,0
0.01,0.42,0
0.09,0.32,0
0.01,0.44,0
0.04,0.09,0
0.09,0.26,0
0.05,0.88,0
0.05,0.47,0
0.09,0.41,0
0.02,0.34,0
0.01,0.12,0
0.04,0.25,0
0.02,0.31,0
0.09,0.39,0
0.05,0.05,0
0.65,0.21,0
0.51,0.36,0
0.71,0.35,0
0.43,0.12,0
0.52,0.34,0
0.09,0.00,0
0.10,0.40,0
0.00,0.00,0
0.01,0.15,0
0.03,0.11,0
0.01,0.43,0
0.09,0.12,0
0.03,0.34,0
0.07,0.40,0
0.08,0.28,0
0.08,0.34,0
0.02,0.44,0
0.01,0.07,0
0.06,0.29,0
0.05,0.15,0
0.02,0.39,0
0.08,0.23,0
0.08,0.02,0
0.07,0.34,0
0.05,0.33,0
0.04,0.26,0
0.02,0.16,0
0.05,0.31,0
0.08,0.37,0
0.07,0.47,0
0.05,0.11,0
0.05,0.11,0
0.00,0.01,0
0.01,0.05,0
0.09,0.01,0
0.06,0.50,0
0.04,0.13,0
0.02,0.49,0
0.02,0.10,0
0.08,0.09,0
0.01,0.31,0
0.01,0.43,0
0.02,0.10,0
0.04,0.10,0
0.10,0.21,0
0.55,0.48,0
0.45,0.42,0
0.00,0.07,0
0.10,0.06,0
0.10,0.06,0
0.49,0.24,0
0.06,0.28,0
0.10,0.43,0
0.02,0.67,0
0.05,0.43,0
0.10,0.47,0
0.02,0.20,0
0.07,0.81,0
0.08,0.25,0
0.01,0.27,0
0.01,0.19,0
0.09,0.19,0
0.06,0.11,0
0.08,0.43,0
0.07,0.47,0
0.01,0.02,0
0.03,0.25,0
0.09,0.14,0
0.09,0.11,0
0.04,0.42,0
0.77,0.45,0
0.52,0.18,0
0.42,0.02,0
0.77,0.15,0
0.59,0.37,0
0.07,0.10,0
0.09,0.20,0
0.08,0.04,0
0.01,0.12,0
0.06,0.07,0
0.08,0.19,0
0.03,0.45,0
0.05,0.07,0
0.10,0.10,0
0.03,0.04,0
0.04,0.03,0
0.08,0.34,0
0.08,0.47,0
0.56,0.13,0
0.04,0.29,0
0.09,0.22,0
0.04,0.07,0
0.05,0.26,0
0.02,0.26,0
0.08,0.21,0
0.02,0.74,0
0.05,0.19,0
0.03,0.42,0
0.04,0.18,0
0.00,0.18,0
0.02,0.00,0
0.07,0.49,0
0.10,0.28,0
0.10,0.34,0
0.10,0.35,0
0.09,0.48,0
0.03,0.25,0
0.06,0.41,0
0.05,0.08,0
0.06,0.32,0
0.05,0.37,0
0.05,0.20,0
0.00,0.35,0
0.03,0.36,0
0.09,0.11,0
0.04,0.08,0
0.09,0.49,0
0.02,0.18,0
0.06,0.37,0
0.02,0.09,0
0.06,0.01,0
0.00,0.01,0
0.08,0.34,0
0.02,0.11,0
0.07,0.25,0
0.07,0.18,0
0.06,0.25,0
0.02,0.42,0
0.01,0.12,0
0.06,0.29,0
0.01,0.44,0
0.06,0.42,0
0.04,0.08,0
0.04,0.35,0
0.01,0.09,0
0.07,0.18,0
0.02,0.03,0
0.04,0.45,0
0.09,0.16,0
0.04,0.19,0
0.01,0.33,0
0.06,0.03,0
0.06,0.27,0
0.00,0.23,0
0.09,0.37,0
0.10,0.34,0
0.00,0.22,0
0.01,0.39,0
0.10,0.30,0
0.05,0.03,0
0.09,0.11,0
0.06,0.33,0
0.01,0.44,0
0.04,0.28,0
0.01,0.31,0
0.01,0.73,0
0.05,0.20,0
0.94,0.31,0
0.02,0.24,0
0.01,0.42,0
0.09,0.22,0
0.10,0.30,0
0.00,0.14,0
0.03,0.01,0
0.06,0.07,0
0.01,0.07,0
0.03,0.00,0
0.09,0.34,0
0.09,0.34,0
0.09,0.30,0
0.09,0.12,0
0.02,0.78,0
0.01,0.21,0
0.00,0.01,0
0.05,0.07,0
0.04,0.01,0
0.02,0.21,0
0.01,0.02,0
0.02,0.18,0
0.08,0.19,0
0.03,0.48,0
0.01,0.04,0
0.01,0.47,0
0.03,0.09,0
0.07,0.38,0
0.09,0.41,0
0.04,0.37,0
0.07,0.23,0
0.06,0.16,0
0.03,0.42,0
0.01,0.28,0
0.03,0.18,0
0.01,0.26,0
0.07,0.21,0
0.04,0.11,0
0.03,0.28,0
0.05,0.18,0
0.07,0.21,0
0.05,0.37,0
0.01,0.43,0
0.09,0.26,0
0.01,0.33,0
0.06,0.26,0
0.10,0.40,0
0.09,0.19,0
0.03,0.50,0
0.06,0.25,0
0.06,0.45,0
0.05,0.36,0
0.03,0.26,0
0.06,0.01,0
0.08,0.05,0
0.09,0.12,0
0.09,0.20,0
0.00,0.45,0
0.02,0.04,0
0.08,0.10,0
0.09,0.37,0
0.07,0.39,0
0.04,0.08,0
0.01,0.46,0
0.10,0.34,0
0.08,0.50,0
0.00,0.26,0
0.04,0.10,0
0.02,0.50,0
0.10,0.35,0
0.01,0.43,0
0.09,0.34,0
0.09,0.01,0
0.07,0.45,0
0.87,0.04,0
0.02,0.23,0
0.06,0.33,0
0.04,0.46,0
0.04,0.39,0
0.10,0.88,0
0.10,0.09,0
0.09,0.37,0
0.06,0.05,0
0.07,0.02,0
0.05,0.29,0
0.03,0.16,0
0.07,0.29,0
0.06,0.15,0
0.05,0.24,0
0.09,0.40,0
0.03,0.13,0
0.10,0.46,0
0.08,0.01,0
0.07,0.04,0
0.07,0.11,0
0.08,0.24,0
0.08,0.04,0
0.00,0.07,0
0.06,0.17,0
0.03,0.47,0
0.05,0.28,0
0.01,0.02,0
0.00,0.48,0
0.03,0.45,0
0.10,0.13,0
0.05,0.33,0
0.06,0.22,0
0.00,0.32,0
0.06,0.40,0
0.06,0.16,0
0.05,0.02,0
0.06,0.02,0
0.08,0.29,0
0.01,0.33,0
0.05,0.35,0
0.08,0.35,0
0.04,0.29,0
0.56,0.02,0
0.07,0.49,0
0.04,0.44,0
0.07,0.20,0
0.01,0.32,0
0.06,0.11,0
0.06,0.46,0
0.10,0.08,0
0.06,0.06,0
0.07,0.30,0
0.08,0.20,0
0.02,0.49,0
0.09,0.88,0
0.03,0.04,0
0.04,0.05,0
0.07,0.22,0
0.07,0.24,0
0.06,0.11,0
0.01,0.07,0
0.04,0.67,0
0.06,0.07,0
0.02,0.18,0
0.05,0.18,0
0.01,0.39,0
0.00,0.24,0
0.02,0.36,0
0.01,0.28,0
0.23,0.12,0
0.08,0.06,0
0.01,0.46,0
0.06,0.45,0
0.57,0.05,0
0.02,0.46,0
0.05,0.23,0
0.38,0.41,0
0.09,0.31,0
0.01,0.00,0
0.47,0.27,0
0.56,0.37,0
0.71,0.30,0
0.65,0.76,1
0.72,0.31,0
0.01,0.04,0
0.03,0.40,0
0.07,0.45,0
0.02,0.43,0
0.09,0.49,0
0.01,0.30,0
0.00,0.47,0
0.06,0.13,0
0.02,0.35,0
0.05,0.16,0
0.06,0.39,0
0.08,0.20,0
0.00,0.02,0
0.04,0.13,0
0.76,0.39,0
0.03,0.21,0
0.05,0.14,0
0.07,0.30,0
0.45,0.47,0
0.07,0.18,0
0.02,0.16,0
0.06,0.02,0
0.05,0.21,0
0.03,0.31,0
0.03,0.61,0
0.02,0.12,0
0.06,0.07,0
0.09,0.42,0
0.02,0.75,0
0.07,0.41,0
0.08,0.05,0
0.00,0.40,0
0.10,0.11,0
0.06,0.10,0
0.10,0.41,0
0.09,0.08,0
0.03,0.00,0
0.09,0.37,0
0.02,0.10,0
0.02,0.11,0
0.07,0.40,0
0.02,0.21,0
0.08,0.31,0
0.04,0.06,0
0.02,0.19,0
0.02,0.01,0
0.01,0.39,0
0.02,0.44,0
0.00,0.34,0
0.02,0.47,0
0.04,0.16,0
0.04,0.22,0
0.04,0.06,0
0.56,0.41,0
0.67,0.30,0
0.08,0.25,0
0.02,0.19,0
0.45,0.42,0
0.01,0.06,0
0.05,0.28,0
0.03,0.38,0
0.00,0.29,0
0.06,0.33,0
0.01,0.11,0
0.39,0.40,0
0.02,0.36,0
0.01,0.24,0
0.76,0.27,0
0.02,0.87,0
0.05,0.08,0
0.08,0.32,0
0.09,0.16,0
0.88,0.15,0
0.07,0.03,0
0.01,0.10,0
0.02,0.19,0
0.01,0.22,0
0.00,0.23,0
0.03,0.49,0
0.00,0.03,0
0.09,0.37,0
0.04,0.36,0
0.01,0.19,0
0.10,0.15,0
0.04,0.10,0
0.08,0.88,0
0.06,0.21,0
0.03,0.41,0
0.06,0.39,0
0.89,0.10,0
0.09,0.04,0
0.03,0.02,0
0.09,0.02,0
0.04,0.39,0
0.03,0.34,0
0.04,0.29,0
0.06,0.30,0
0.06,0.23,0
0.03,0.48,0
0.08,0.39,0
0.02,0.23,0
0.05,0.06,0
0.53,0.10,0
0.70,0.41,0
0.72,0.50,0
0.57,0.39,0
0.75,0.69,1
0.07,0.04,0
0.06,0.27,0
0.03,0.22,0
0.03,0.10,0
0.04,0.67,0
0.06,0.42,0
0.56,0.05,0
0.67,0.05,0
0.76,0.19,0
0.04,0.03,0
0.03,0.24,0
0.10,0.03,0
0.06,0.39,0
0.44,0.10,0
0.60,0.11,0
0.61,0.86,0
0.80,0.42,0
0.64,0.44,0
0.06,0.78,1
0.01,0.11,0
0.09,0.83,0
0.06,0.23,0
0.00,0.18,0
0.02,0.49,0
0.04,0.00,0
0.02,0.44,0
0.03,0.14,0
0.05,0.25,0
0.49,0.25,0
0.02,0.30,0
0.06,0.03,0
0.45,0.08,0
0.01,0.41,0
0.04,0.88,0
0.08,0.10,0
0.02,0.06,0
0.07,0.37,0
0.00,0.05,0
0.77,0.37,0
0.59,0.06,0
0.58,0.35,0
0.41,0.74,1
0.56,0.46,0
0.02,0.42,0
0.08,0.06,0
0.04,0.43,0
0.09,0.11,0
0.10,0.29,0
0.04,0.22,0
0.01,0.05,0
0.06,0.15,0
0.07,0.08,0
0.00,0.23,0
0.03,0.01,0
0.07,0.74,0
0.03,0.05,0
0.08,0.28,0
0.04,0.25,0
0.00,0.01,0
0.09,0.05,0
0.04,0.50,0
0.03,0.04,0
0.05,0.02,0
0.05,0.20,0
0.07,0.15,0
0.09,0.46,0
0.02,0.43,0
0.04,0.12,0
0.09,0.12,0
0.09,0.17,0
0.00,0.01,0
0.03,0.11,0
0.04,0.87,0
0.06,0.40,0
0.03,0.38,0
0.56,0.22,0
0.00,0.39,0
0.05,0.36,0
0.00,0.34,0
0.05,0.45,0
0.04,0.05,0
0.87,0.49,0
0.03,0.24,0
0.00,0.47,0
0.09,0.12,0
0.03,0.45,0
0.07,0.16,0
0.10,0.11,0
0.04,0.26,0
0.09,0.10,0
0.00,0.11,0
0.07,0.49,0
0.93,0.29,0
0.96,0.45,0
0.04,0.59,0
0.04,0.14,0
0.05,0.23,0
0.03,0.65,0
0.05,0.85,0
0.02,0.89,0
0.06,0.90,0
0.04,0.98,0
0.09,0.19,0
0.02,0.34,0
0.08,0.47,0
0.07,0.10,0
0.02,0.21,0
0.02,0.18,0
0.02,0.11,0
0.03,0.06,0
0.04,0.24,0
0.03,0.24,0
0.08,0.31,0
0.06,0.03,0
0.63,0.28,0
0.63,0.49,0
0.70,0.24,0
0.40,0.09,0
0.78,0.19,0
0.02,0.18,0
0.02,0.40,0
0.09,0.20,0
0.06,0.36,0
0.03,0.22,0
0.07,0.30,0
0.07,0.25,0
0.07,0.78,0
0.07,0.32,0
0.03,0.39,0
0.10,0.16,0
0.07,0.39,0
0.03,0.45,0
0.08,0.28,0
0.07,0.22,0
0.05,0.36,0
0.09,0.16,0
0.00,0.41,0
0.05,0.93,0
0.06,0.10,0
0.02,0.23,0
0.00,0.33,0
0.02,0.22,0
0.05,0.36,0
0.07,0.40,0
0.07,0.42,0
0.07,0.46,0
0.10,0.47,0
0.04,0.44,0
0.10,0.25,0
0.05,0.11,0
0.06,0.39,0
0.04,0.22,0
0.01,0.39,0
0.03,0.26,0
0.06,0.42,0
0.05,0.02,0
0.09,0.14,0
0.08,0.16,0
0.08,0.45,0
0.03,0.35,0
0.01,0.43,0
0.08,0.33,0
0.02,0.05,0
0.02,0.04,0
0.03,0.35,0
0.06,0.43,0
0.06,0.31,0
0.08,0.34,0
0.02,0.35,0
0.04,0.28,0
0.05,0.05,0
0.05,0.36,0
0.02,0.41,0
0.02,0.01,0
0.04,0.11,0
